instant,dates,season,years,months,hours,holiday,day_a_week,weathersit,temp,atemp,hum,windspeed,casual,registered,total,days_category,hum_category
1360,2011-03-01,Winter,2011,Mar,22,Not,Tue,Clear,0.24,0.2727,0.62,0.1045,3,44,47,Weekday,Ideal
1361,2011-03-01,Winter,2011,Mar,23,Not,Tue,Clear,0.24,0.2273,0.65,0.2239,2,23,25,Weekday,Too Moist
1362,2011-03-02,Winter,2011,Mar,0,Not,Wed,Clear,0.22,0.2273,0.69,0.1642,3,5,8,Weekday,Too Moist
1363,2011-03-02,Winter,2011,Mar,1,Not,Wed,Clear,0.22,0.2273,0.69,0.194,0,4,4,Weekday,Too Moist
1364,2011-03-02,Winter,2011,Mar,2,Not,Wed,Clear,0.22,0.2273,0.69,0.194,0,2,2,Weekday,Too Moist
1365,2011-03-02,Winter,2011,Mar,3,Not,Wed,Clear,0.22,0.2121,0.69,0.2836,3,1,4,Weekday,Too Moist
1366,2011-03-02,Winter,2011,Mar,4,Not,Wed,Clear,0.2,0.2121,0.75,0.1343,1,0,1,Weekday,Too Moist
1367,2011-03-02,Winter,2011,Mar,5,Not,Wed,Clear,0.22,0.2121,0.69,0.2239,0,5,5,Weekday,Too Moist
1368,2011-03-02,Winter,2011,Mar,6,Not,Wed,Clear,0.22,0.2121,0.55,0.2537,1,39,40,Weekday,Ideal
1369,2011-03-02,Winter,2011,Mar,7,Not,Wed,Clear,0.22,0.2121,0.64,0.2537,2,108,110,Weekday,Ideal
1370,2011-03-02,Winter,2011,Mar,8,Not,Wed,Clear,0.24,0.2121,0.65,0.2836,13,243,256,Weekday,Too Moist
1371,2011-03-02,Winter,2011,Mar,9,Not,Wed,Clear,0.28,0.2576,0.56,0.2985,7,141,148,Weekday,Ideal
1372,2011-03-02,Winter,2011,Mar,10,Not,Wed,Clear,0.32,0.303,0.49,0.2836,11,65,76,Weekday,Ideal
1373,2011-03-02,Winter,2011,Mar,11,Not,Wed,Clear,0.34,0.303,0.53,0.3284,8,65,73,Weekday,Ideal
1374,2011-03-02,Winter,2011,Mar,12,Not,Wed,Clear,0.4,0.4091,0.43,0.194,20,62,82,Weekday,Too Dry
1375,2011-03-02,Winter,2011,Mar,13,Not,Wed,Clear,0.5,0.4848,0.25,0.0,35,90,125,Weekday,Too Dry
1376,2011-03-02,Winter,2011,Mar,14,Not,Wed,Clear,0.52,0.5,0.23,0.2985,21,75,96,Weekday,Too Dry
1377,2011-03-02,Winter,2011,Mar,15,Not,Wed,Clear,0.54,0.5152,0.19,0.4179,19,91,110,Weekday,Too Dry
1378,2011-03-02,Winter,2011,Mar,16,Not,Wed,Clear,0.54,0.5152,0.19,0.3284,27,112,139,Weekday,Too Dry
1379,2011-03-02,Winter,2011,Mar,17,Not,Wed,Clear,0.5,0.4848,0.23,0.2836,30,238,268,Weekday,Too Dry
1380,2011-03-02,Winter,2011,Mar,18,Not,Wed,Clear,0.46,0.4545,0.23,0.4925,8,193,201,Weekday,Too Dry
1381,2011-03-02,Winter,2011,Mar,19,Not,Wed,Clear,0.4,0.4091,0.28,0.5224,6,144,150,Weekday,Too Dry
1382,2011-03-02,Winter,2011,Mar,20,Not,Wed,Clear,0.36,0.3333,0.29,0.4179,9,86,95,Weekday,Too Dry
1383,2011-03-02,Winter,2011,Mar,21,Not,Wed,Clear,0.34,0.2879,0.29,0.4627,3,68,71,Weekday,Too Dry
1384,2011-03-02,Winter,2011,Mar,22,Not,Wed,Clear,0.3,0.2576,0.26,0.5522,4,44,48,Weekday,Too Dry
1385,2011-03-02,Winter,2011,Mar,23,Not,Wed,Clear,0.26,0.2121,0.3,0.5224,0,22,22,Weekday,Too Dry
1386,2011-03-03,Winter,2011,Mar,0,Not,Thur,Clear,0.24,0.197,0.3,0.4627,3,10,13,Weekday,Too Dry
1387,2011-03-03,Winter,2011,Mar,1,Not,Thur,Clear,0.24,0.197,0.3,0.4627,0,1,1,Weekday,Too Dry
1388,2011-03-03,Winter,2011,Mar,2,Not,Thur,Clear,0.2,0.1667,0.27,0.4627,1,2,3,Weekday,Too Dry
1389,2011-03-03,Winter,2011,Mar,3,Not,Thur,Clear,0.2,0.1667,0.27,0.4627,0,1,1,Weekday,Too Dry
1390,2011-03-03,Winter,2011,Mar,4,Not,Thur,Clear,0.16,0.1212,0.31,0.4925,0,1,1,Weekday,Too Dry
1391,2011-03-03,Winter,2011,Mar,5,Not,Thur,Clear,0.14,0.1212,0.33,0.2985,1,7,8,Weekday,Too Dry
1392,2011-03-03,Winter,2011,Mar,6,Not,Thur,Clear,0.14,0.1212,0.33,0.2985,1,34,35,Weekday,Too Dry
1393,2011-03-03,Winter,2011,Mar,7,Not,Thur,Clear,0.12,0.0909,0.42,0.4179,1,110,111,Weekday,Too Dry
1394,2011-03-03,Winter,2011,Mar,8,Not,Thur,Clear,0.14,0.1212,0.39,0.2985,4,216,220,Weekday,Too Dry
1395,2011-03-03,Winter,2011,Mar,9,Not,Thur,Clear,0.16,0.1364,0.37,0.2836,10,135,145,Weekday,Too Dry
1396,2011-03-03,Winter,2011,Mar,10,Not,Thur,Clear,0.18,0.1818,0.29,0.194,7,49,56,Weekday,Too Dry
1397,2011-03-03,Winter,2011,Mar,11,Not,Thur,Clear,0.2,0.2273,0.29,0.0896,10,40,50,Weekday,Too Dry
1398,2011-03-03,Winter,2011,Mar,12,Not,Thur,Clear,0.22,0.2273,0.25,0.1343,7,65,72,Weekday,Too Dry
1399,2011-03-03,Winter,2011,Mar,13,Not,Thur,Clear,0.22,0.2576,0.25,0.0896,13,67,80,Weekday,Too Dry
1400,2011-03-03,Winter,2011,Mar,14,Not,Thur,Clear,0.24,0.2576,0.21,0.1045,18,60,78,Weekday,Too Dry
1401,2011-03-03,Winter,2011,Mar,15,Not,Thur,Clear,0.24,0.2879,0.23,0.0,6,62,68,Weekday,Too Dry
1402,2011-03-03,Winter,2011,Mar,16,Not,Thur,Clear,0.26,0.303,0.23,0.0,6,65,71,Weekday,Too Dry
1403,2011-03-03,Winter,2011,Mar,17,Not,Thur,Clear,0.26,0.303,0.22,0.0,17,185,202,Weekday,Too Dry
1404,2011-03-03,Winter,2011,Mar,18,Not,Thur,Clear,0.24,0.2121,0.35,0.3284,6,161,167,Weekday,Too Dry
1405,2011-03-03,Winter,2011,Mar,19,Not,Thur,Clear,0.2,0.197,0.4,0.2537,5,101,106,Weekday,Too Dry
1406,2011-03-03,Winter,2011,Mar,20,Not,Thur,Clear,0.2,0.2273,0.4,0.0896,1,69,70,Weekday,Too Dry
1407,2011-03-03,Winter,2011,Mar,21,Not,Thur,Clear,0.18,0.2121,0.4,0.1045,3,48,51,Weekday,Too Dry
1408,2011-03-03,Winter,2011,Mar,22,Not,Thur,Clear,0.2,0.2576,0.4,0.0,3,50,53,Weekday,Too Dry
1409,2011-03-03,Winter,2011,Mar,23,Not,Thur,Misty,0.18,0.2121,0.43,0.0896,0,23,23,Weekday,Too Dry
1410,2011-03-04,Winter,2011,Mar,0,Not,Fri,Misty,0.2,0.197,0.55,0.194,0,12,12,Weekday,Ideal
1411,2011-03-04,Winter,2011,Mar,1,Not,Fri,Misty,0.18,0.1818,0.64,0.194,0,4,4,Weekday,Ideal
1412,2011-03-04,Winter,2011,Mar,2,Not,Fri,Misty,0.18,0.1818,0.64,0.194,0,2,2,Weekday,Ideal
1413,2011-03-04,Winter,2011,Mar,3,Not,Fri,Misty,0.18,0.1667,0.74,0.2537,0,1,1,Weekday,Too Moist
1414,2011-03-04,Winter,2011,Mar,4,Not,Fri,Misty,0.18,0.1818,0.74,0.194,1,0,1,Weekday,Too Moist
1415,2011-03-04,Winter,2011,Mar,5,Not,Fri,Misty,0.16,0.1818,0.74,0.1343,0,7,7,Weekday,Too Moist
1416,2011-03-04,Winter,2011,Mar,6,Not,Fri,Misty,0.16,0.197,0.74,0.0896,1,28,29,Weekday,Too Moist
1417,2011-03-04,Winter,2011,Mar,7,Not,Fri,Clear,0.16,0.1818,0.8,0.1343,0,83,83,Weekday,Too Moist
1418,2011-03-04,Winter,2011,Mar,8,Not,Fri,Clear,0.18,0.197,0.74,0.1343,6,222,228,Weekday,Too Moist
1419,2011-03-04,Winter,2011,Mar,9,Not,Fri,Clear,0.22,0.2273,0.6,0.1343,12,138,150,Weekday,Ideal
1420,2011-03-04,Winter,2011,Mar,10,Not,Fri,Clear,0.24,0.2273,0.6,0.2537,10,56,66,Weekday,Ideal
1421,2011-03-04,Winter,2011,Mar,11,Not,Fri,Clear,0.28,0.2727,0.52,0.2239,16,73,89,Weekday,Ideal
1422,2011-03-04,Winter,2011,Mar,12,Not,Fri,Clear,0.32,0.303,0.43,0.1642,10,87,97,Weekday,Too Dry
1423,2011-03-04,Winter,2011,Mar,13,Not,Fri,Clear,0.34,0.3182,0.42,0.2239,13,74,87,Weekday,Too Dry
1424,2011-03-04,Winter,2011,Mar,14,Not,Fri,Clear,0.36,0.3333,0.4,0.2836,30,65,95,Weekday,Too Dry
1425,2011-03-04,Winter,2011,Mar,15,Not,Fri,Clear,0.36,0.3333,0.4,0.2985,31,75,106,Weekday,Too Dry
1426,2011-03-04,Winter,2011,Mar,16,Not,Fri,Clear,0.36,0.3485,0.46,0.194,17,101,118,Weekday,Ideal
1427,2011-03-04,Winter,2011,Mar,17,Not,Fri,Misty,0.36,0.3333,0.5,0.2537,22,206,228,Weekday,Ideal
1428,2011-03-04,Winter,2011,Mar,18,Not,Fri,Misty,0.34,0.303,0.53,0.2985,15,172,187,Weekday,Ideal
1429,2011-03-04,Winter,2011,Mar,19,Not,Fri,Clear,0.32,0.303,0.61,0.2537,5,102,107,Weekday,Ideal
1430,2011-03-04,Winter,2011,Mar,20,Not,Fri,Misty,0.3,0.2879,0.7,0.194,9,78,87,Weekday,Too Moist
1431,2011-03-04,Winter,2011,Mar,21,Not,Fri,Misty,0.3,0.2879,0.7,0.2239,6,64,70,Weekday,Too Moist
1432,2011-03-04,Winter,2011,Mar,22,Not,Fri,Clear,0.3,0.2879,0.7,0.194,4,40,44,Weekday,Too Moist
1433,2011-03-04,Winter,2011,Mar,23,Not,Fri,Misty,0.3,0.303,0.75,0.1642,6,40,46,Weekday,Too Moist
1434,2011-03-05,Winter,2011,Mar,0,Not,Sat,Misty,0.28,0.2879,0.81,0.1045,4,15,19,Weekend,Too Moist
1435,2011-03-05,Winter,2011,Mar,1,Not,Sat,Misty,0.3,0.3182,0.81,0.1045,5,20,25,Weekend,Too Moist
1436,2011-03-05,Winter,2011,Mar,2,Not,Sat,Misty,0.3,0.2879,0.87,0.194,5,15,20,Weekend,Too Moist
1437,2011-03-05,Winter,2011,Mar,3,Not,Sat,Misty,0.3,0.2879,0.87,0.194,0,2,2,Weekend,Too Moist
1438,2011-03-05,Winter,2011,Mar,4,Not,Sat,Misty,0.3,0.303,0.93,0.1642,0,1,1,Weekend,Too Moist
1439,2011-03-05,Winter,2011,Mar,5,Not,Sat,Misty,0.3,0.303,1.0,0.1343,0,3,3,Weekend,Too Moist
1440,2011-03-05,Winter,2011,Mar,6,Not,Sat,Misty,0.3,0.2879,1.0,0.2239,1,3,4,Weekend,Too Moist
1441,2011-03-05,Winter,2011,Mar,7,Not,Sat,Misty,0.3,0.2727,1.0,0.2985,5,10,15,Weekend,Too Moist
1442,2011-03-05,Winter,2011,Mar,8,Not,Sat,Misty,0.3,0.2727,1.0,0.2985,11,34,45,Weekend,Too Moist
1443,2011-03-05,Winter,2011,Mar,9,Not,Sat,Misty,0.32,0.303,0.93,0.2239,15,48,63,Weekend,Too Moist
1444,2011-03-05,Winter,2011,Mar,10,Not,Sat,Misty,0.34,0.3333,0.93,0.194,34,69,103,Weekend,Too Moist
1445,2011-03-05,Winter,2011,Mar,11,Not,Sat,Misty,0.4,0.4091,0.76,0.2239,43,116,159,Weekend,Too Moist
1446,2011-03-05,Winter,2011,Mar,12,Not,Sat,Misty,0.44,0.4394,0.67,0.2537,46,121,167,Weekend,Too Moist
1447,2011-03-05,Winter,2011,Mar,13,Not,Sat,Misty,0.46,0.4545,0.67,0.2836,60,130,190,Weekend,Too Moist
1448,2011-03-05,Winter,2011,Mar,14,Not,Sat,Misty,0.48,0.4697,0.59,0.2836,80,118,198,Weekend,Ideal
1449,2011-03-05,Winter,2011,Mar,15,Not,Sat,Misty,0.46,0.4545,0.63,0.2985,83,122,205,Weekend,Ideal
1450,2011-03-05,Winter,2011,Mar,16,Not,Sat,Misty,0.48,0.4697,0.59,0.2985,74,130,204,Weekend,Ideal
1451,2011-03-05,Winter,2011,Mar,17,Not,Sat,Misty,0.48,0.4697,0.59,0.3582,60,104,164,Weekend,Ideal
1452,2011-03-05,Winter,2011,Mar,18,Not,Sat,Misty,0.48,0.4697,0.59,0.3284,37,115,152,Weekend,Ideal
1453,2011-03-05,Winter,2011,Mar,19,Not,Sat,Misty,0.46,0.4545,0.67,0.3284,27,62,89,Weekend,Too Moist
1454,2011-03-05,Winter,2011,Mar,20,Not,Sat,Misty,0.44,0.4394,0.77,0.3284,12,58,70,Weekend,Too Moist
1455,2011-03-05,Winter,2011,Mar,21,Not,Sat,Misty,0.44,0.4394,0.72,0.3284,12,60,72,Weekend,Too Moist
1456,2011-03-05,Winter,2011,Mar,22,Not,Sat,Misty,0.42,0.4242,0.77,0.2985,16,47,63,Weekend,Too Moist
1457,2011-03-05,Winter,2011,Mar,23,Not,Sat,Misty,0.44,0.4394,0.77,0.2985,10,34,44,Weekend,Too Moist
1458,2011-03-06,Winter,2011,Mar,0,Not,Sun,Misty,0.42,0.4242,0.77,0.3582,11,41,52,Weekend,Too Moist
1459,2011-03-06,Winter,2011,Mar,1,Not,Sun,Misty,0.42,0.4242,0.77,0.2836,12,27,39,Weekend,Too Moist
1460,2011-03-06,Winter,2011,Mar,2,Not,Sun,Misty,0.4,0.4091,0.82,0.2836,5,27,32,Weekend,Too Moist
1461,2011-03-06,Winter,2011,Mar,3,Not,Sun,Misty,0.42,0.4242,0.82,0.2985,2,9,11,Weekend,Too Moist
1462,2011-03-06,Winter,2011,Mar,4,Not,Sun,Misty,0.42,0.4242,0.88,0.3582,0,3,3,Weekend,Too Moist
1463,2011-03-06,Winter,2011,Mar,6,Not,Sun,Misty,0.42,0.4242,0.94,0.3582,1,1,2,Weekend,Too Moist
1464,2011-03-06,Winter,2011,Mar,7,Not,Sun,Light_Rain,0.42,0.4242,1.0,0.4478,0,5,5,Weekend,Too Moist
1465,2011-03-06,Winter,2011,Mar,8,Not,Sun,Misty,0.4,0.4091,1.0,0.2985,1,8,9,Weekend,Too Moist
1466,2011-03-06,Winter,2011,Mar,9,Not,Sun,Misty,0.42,0.4242,1.0,0.2836,4,18,22,Weekend,Too Moist
1467,2011-03-06,Winter,2011,Mar,10,Not,Sun,Misty,0.42,0.4242,1.0,0.2985,4,27,31,Weekend,Too Moist
1468,2011-03-06,Winter,2011,Mar,11,Not,Sun,Misty,0.42,0.4242,1.0,0.2239,18,44,62,Weekend,Too Moist
1469,2011-03-06,Winter,2011,Mar,12,Not,Sun,Misty,0.46,0.4545,0.94,0.3284,10,69,79,Weekend,Too Moist
1470,2011-03-06,Winter,2011,Mar,13,Not,Sun,Misty,0.46,0.4545,0.94,0.3582,22,83,105,Weekend,Too Moist
1471,2011-03-06,Winter,2011,Mar,14,Not,Sun,Light_Rain,0.44,0.4394,1.0,0.2239,12,27,39,Weekend,Too Moist
1472,2011-03-06,Winter,2011,Mar,15,Not,Sun,Light_Rain,0.44,0.4394,1.0,0.2239,3,4,7,Weekend,Too Moist
1473,2011-03-06,Winter,2011,Mar,16,Not,Sun,Light_Rain,0.36,0.3333,1.0,0.2836,3,8,11,Weekend,Too Moist
1474,2011-03-06,Winter,2011,Mar,17,Not,Sun,Light_Rain,0.34,0.303,1.0,0.2985,2,23,25,Weekend,Too Moist
1475,2011-03-06,Winter,2011,Mar,18,Not,Sun,Light_Rain,0.32,0.2879,1.0,0.3582,0,23,23,Weekend,Too Moist
1476,2011-03-06,Winter,2011,Mar,19,Not,Sun,Light_Rain,0.3,0.2576,1.0,0.4925,0,11,11,Weekend,Too Moist
1477,2011-03-06,Winter,2011,Mar,20,Not,Sun,Light_Rain,0.28,0.2424,1.0,0.4179,3,8,11,Weekend,Too Moist
1478,2011-03-06,Winter,2011,Mar,21,Not,Sun,Light_Rain,0.24,0.1818,0.93,0.6119,1,6,7,Weekend,Too Moist
1479,2011-03-06,Winter,2011,Mar,22,Not,Sun,Misty,0.22,0.197,1.0,0.3881,0,10,10,Weekend,Too Moist
1480,2011-03-06,Winter,2011,Mar,23,Not,Sun,Misty,0.22,0.197,1.0,0.4179,0,9,9,Weekend,Too Moist
1481,2011-03-07,Winter,2011,Mar,0,Not,Mon,Light_Rain,0.2,0.1818,1.0,0.3284,0,4,4,Weekday,Too Moist
1482,2011-03-07,Winter,2011,Mar,1,Not,Mon,Light_Rain,0.2,0.1818,1.0,0.3284,0,2,2,Weekday,Too Moist
1483,2011-03-07,Winter,2011,Mar,3,Not,Mon,Clear,0.2,0.1515,0.8,0.5821,0,1,1,Weekday,Too Moist
1484,2011-03-07,Winter,2011,Mar,4,Not,Mon,Clear,0.2,0.1515,0.8,0.5224,1,0,1,Weekday,Too Moist
1485,2011-03-07,Winter,2011,Mar,5,Not,Mon,Clear,0.2,0.1818,0.75,0.3582,0,1,1,Weekday,Too Moist
1486,2011-03-07,Winter,2011,Mar,6,Not,Mon,Clear,0.2,0.1818,0.75,0.3881,3,31,34,Weekday,Too Moist
1487,2011-03-07,Winter,2011,Mar,7,Not,Mon,Clear,0.2,0.1667,0.75,0.4179,3,88,91,Weekday,Too Moist
1488,2011-03-07,Winter,2011,Mar,8,Not,Mon,Clear,0.2,0.1818,0.75,0.3881,11,200,211,Weekday,Too Moist
1489,2011-03-07,Winter,2011,Mar,9,Not,Mon,Clear,0.22,0.1818,0.64,0.4627,5,129,134,Weekday,Ideal
1490,2011-03-07,Winter,2011,Mar,10,Not,Mon,Clear,0.24,0.2121,0.6,0.2985,15,43,58,Weekday,Ideal
1491,2011-03-07,Winter,2011,Mar,11,Not,Mon,Clear,0.26,0.2121,0.48,0.4478,19,41,60,Weekday,Ideal
1492,2011-03-07,Winter,2011,Mar,12,Not,Mon,Clear,0.3,0.2727,0.42,0.4179,28,68,96,Weekday,Too Dry
1493,2011-03-07,Winter,2011,Mar,13,Not,Mon,Clear,0.32,0.2879,0.36,0.3881,16,54,70,Weekday,Too Dry
1494,2011-03-07,Winter,2011,Mar,14,Not,Mon,Clear,0.32,0.2879,0.36,0.4179,21,56,77,Weekday,Too Dry
1495,2011-03-07,Winter,2011,Mar,15,Not,Mon,Clear,0.34,0.303,0.31,0.3881,32,64,96,Weekday,Too Dry
1496,2011-03-07,Winter,2011,Mar,16,Not,Mon,Clear,0.34,0.303,0.31,0.3582,26,96,122,Weekday,Too Dry
1497,2011-03-07,Winter,2011,Mar,17,Not,Mon,Clear,0.34,0.303,0.29,0.3582,27,206,233,Weekday,Too Dry
1498,2011-03-07,Winter,2011,Mar,18,Not,Mon,Clear,0.32,0.303,0.31,0.2239,19,214,233,Weekday,Too Dry
1499,2011-03-07,Winter,2011,Mar,19,Not,Mon,Clear,0.3,0.2879,0.33,0.2239,11,134,145,Weekday,Too Dry
1500,2011-03-07,Winter,2011,Mar,20,Not,Mon,Clear,0.3,0.303,0.33,0.1642,5,87,92,Weekday,Too Dry
1501,2011-03-07,Winter,2011,Mar,21,Not,Mon,Clear,0.28,0.2727,0.38,0.2239,1,53,54,Weekday,Too Dry
1502,2011-03-07,Winter,2011,Mar,22,Not,Mon,Clear,0.26,0.2576,0.48,0.1642,1,34,35,Weekday,Ideal
1503,2011-03-07,Winter,2011,Mar,23,Not,Mon,Clear,0.28,0.3182,0.48,0.0,0,22,22,Weekday,Ideal
1504,2011-03-08,Winter,2011,Mar,0,Not,Tue,Clear,0.26,0.2879,0.48,0.0896,1,9,10,Weekday,Ideal
1505,2011-03-08,Winter,2011,Mar,1,Not,Tue,Clear,0.24,0.2424,0.52,0.1343,0,4,4,Weekday,Ideal
1506,2011-03-08,Winter,2011,Mar,2,Not,Tue,Clear,0.24,0.2424,0.52,0.1343,1,0,1,Weekday,Ideal
1507,2011-03-08,Winter,2011,Mar,3,Not,Tue,Clear,0.24,0.2576,0.52,0.0896,5,2,7,Weekday,Ideal
1508,2011-03-08,Winter,2011,Mar,4,Not,Tue,Clear,0.22,0.2727,0.64,0.0,0,2,2,Weekday,Ideal
1509,2011-03-08,Winter,2011,Mar,5,Not,Tue,Clear,0.2,0.2273,0.69,0.1045,2,8,10,Weekday,Too Moist
1510,2011-03-08,Winter,2011,Mar,6,Not,Tue,Clear,0.2,0.2576,0.59,0.0,3,42,45,Weekday,Ideal
1511,2011-03-08,Winter,2011,Mar,7,Not,Tue,Clear,0.18,0.197,0.64,0.1343,9,119,128,Weekday,Ideal
1512,2011-03-08,Winter,2011,Mar,8,Not,Tue,Clear,0.22,0.2273,0.55,0.194,10,247,257,Weekday,Ideal
1513,2011-03-08,Winter,2011,Mar,9,Not,Tue,Clear,0.26,0.2576,0.41,0.1642,11,140,151,Weekday,Too Dry
1514,2011-03-08,Winter,2011,Mar,10,Not,Tue,Misty,0.3,0.2879,0.33,0.194,25,46,71,Weekday,Too Dry
1515,2011-03-08,Winter,2011,Mar,11,Not,Tue,Misty,0.36,0.3485,0.25,0.1642,26,52,78,Weekday,Too Dry
1516,2011-03-08,Winter,2011,Mar,12,Not,Tue,Misty,0.36,0.3788,0.23,0.0,29,70,99,Weekday,Too Dry
1517,2011-03-08,Winter,2011,Mar,13,Not,Tue,Misty,0.38,0.3939,0.25,0.1045,25,73,98,Weekday,Too Dry
1518,2011-03-08,Winter,2011,Mar,14,Not,Tue,Misty,0.38,0.3939,0.2,0.0,16,56,72,Weekday,Too Dry
1519,2011-03-08,Winter,2011,Mar,15,Not,Tue,Misty,0.36,0.3788,0.18,0.0,35,77,112,Weekday,Too Dry
1520,2011-03-08,Winter,2011,Mar,16,Not,Tue,Clear,0.38,0.3939,0.27,0.1642,26,82,108,Weekday,Too Dry
1521,2011-03-08,Winter,2011,Mar,17,Not,Tue,Clear,0.36,0.3485,0.27,0.2239,39,209,248,Weekday,Too Dry
1522,2011-03-08,Winter,2011,Mar,18,Not,Tue,Clear,0.34,0.3333,0.27,0.194,21,214,235,Weekday,Too Dry
1523,2011-03-08,Winter,2011,Mar,19,Not,Tue,Clear,0.34,0.3485,0.31,0.1045,9,141,150,Weekday,Too Dry
1524,2011-03-08,Winter,2011,Mar,20,Not,Tue,Clear,0.32,0.3333,0.39,0.0896,2,74,76,Weekday,Too Dry
1525,2011-03-08,Winter,2011,Mar,21,Not,Tue,Clear,0.3,0.2879,0.49,0.194,7,68,75,Weekday,Ideal
1526,2011-03-08,Winter,2011,Mar,22,Not,Tue,Clear,0.3,0.2879,0.49,0.2239,11,44,55,Weekday,Ideal
1527,2011-03-08,Winter,2011,Mar,23,Not,Tue,Clear,0.28,0.2727,0.61,0.194,3,38,41,Weekday,Ideal
1528,2011-03-09,Winter,2011,Mar,0,Not,Wed,Clear,0.26,0.2879,0.65,0.0896,0,9,9,Weekday,Too Moist
1529,2011-03-09,Winter,2011,Mar,1,Not,Wed,Clear,0.26,0.2727,0.52,0.1343,0,4,4,Weekday,Ideal
1530,2011-03-09,Winter,2011,Mar,2,Not,Wed,Clear,0.26,0.2727,0.52,0.1343,1,1,2,Weekday,Ideal
1531,2011-03-09,Winter,2011,Mar,3,Not,Wed,Clear,0.24,0.2576,0.7,0.0896,1,2,3,Weekday,Too Moist
1532,2011-03-09,Winter,2011,Mar,4,Not,Wed,Clear,0.24,0.2576,0.75,0.1045,0,2,2,Weekday,Too Moist
1533,2011-03-09,Winter,2011,Mar,5,Not,Wed,Misty,0.24,0.2424,0.81,0.1343,1,7,8,Weekday,Too Moist
1534,2011-03-09,Winter,2011,Mar,6,Not,Wed,Misty,0.24,0.2576,0.85,0.1045,5,44,49,Weekday,Too Moist
1535,2011-03-09,Winter,2011,Mar,7,Not,Wed,Misty,0.24,0.2424,0.87,0.1642,18,123,141,Weekday,Too Moist
1536,2011-03-09,Winter,2011,Mar,8,Not,Wed,Misty,0.24,0.2424,0.87,0.1343,11,238,249,Weekday,Too Moist
1537,2011-03-09,Winter,2011,Mar,9,Not,Wed,Misty,0.26,0.2424,0.87,0.2537,5,136,141,Weekday,Too Moist
1538,2011-03-09,Winter,2011,Mar,10,Not,Wed,Misty,0.3,0.2879,0.75,0.2537,8,49,57,Weekday,Too Moist
1539,2011-03-09,Winter,2011,Mar,11,Not,Wed,Misty,0.32,0.2879,0.76,0.3881,15,44,59,Weekday,Too Moist
1540,2011-03-09,Winter,2011,Mar,12,Not,Wed,Misty,0.32,0.303,0.76,0.2537,14,84,98,Weekday,Too Moist
1541,2011-03-09,Winter,2011,Mar,13,Not,Wed,Misty,0.32,0.2879,0.76,0.3582,17,82,99,Weekday,Too Moist
1542,2011-03-09,Winter,2011,Mar,14,Not,Wed,Misty,0.34,0.303,0.76,0.2985,10,61,71,Weekday,Too Moist
1543,2011-03-09,Winter,2011,Mar,15,Not,Wed,Misty,0.36,0.3333,0.71,0.2985,15,64,79,Weekday,Too Moist
1544,2011-03-09,Winter,2011,Mar,16,Not,Wed,Misty,0.34,0.303,0.76,0.3284,10,102,112,Weekday,Too Moist
1545,2011-03-09,Winter,2011,Mar,17,Not,Wed,Misty,0.34,0.303,0.76,0.2985,18,176,194,Weekday,Too Moist
1546,2011-03-09,Winter,2011,Mar,18,Not,Wed,Misty,0.34,0.3182,0.76,0.2537,12,176,188,Weekday,Too Moist
1547,2011-03-09,Winter,2011,Mar,19,Not,Wed,Misty,0.34,0.303,0.76,0.3284,11,123,134,Weekday,Too Moist
1548,2011-03-09,Winter,2011,Mar,20,Not,Wed,Misty,0.32,0.3182,0.87,0.194,4,87,91,Weekday,Too Moist
1549,2011-03-09,Winter,2011,Mar,21,Not,Wed,Misty,0.32,0.303,0.93,0.3284,10,52,62,Weekday,Too Moist
1550,2011-03-09,Winter,2011,Mar,22,Not,Wed,Light_Rain,0.32,0.3182,0.93,0.1642,4,17,21,Weekday,Too Moist
1551,2011-03-09,Winter,2011,Mar,23,Not,Wed,Light_Rain,0.34,0.3333,0.93,0.194,1,17,18,Weekday,Too Moist
1552,2011-03-10,Winter,2011,Mar,0,Not,Thur,Light_Rain,0.34,0.3182,0.0,0.2537,3,0,3,Weekday,Too Dry
1553,2011-03-10,Winter,2011,Mar,1,Not,Thur,Light_Rain,0.34,0.3182,0.0,0.2537,0,2,2,Weekday,Too Dry
1554,2011-03-10,Winter,2011,Mar,2,Not,Thur,Light_Rain,0.34,0.3182,0.0,0.2537,0,1,1,Weekday,Too Dry
1555,2011-03-10,Winter,2011,Mar,5,Not,Thur,Light_Rain,0.36,0.3485,0.0,0.194,1,2,3,Weekday,Too Dry
1556,2011-03-10,Winter,2011,Mar,6,Not,Thur,Light_Rain,0.36,0.3333,0.0,0.3284,0,12,12,Weekday,Too Dry
1557,2011-03-10,Winter,2011,Mar,7,Not,Thur,Light_Rain,0.38,0.3939,0.0,0.2239,1,36,37,Weekday,Too Dry
1558,2011-03-10,Winter,2011,Mar,8,Not,Thur,Light_Rain,0.38,0.3939,0.0,0.2836,1,43,44,Weekday,Too Dry
1559,2011-03-10,Winter,2011,Mar,9,Not,Thur,Light_Rain,0.4,0.4091,0.0,0.2239,1,23,24,Weekday,Too Dry
1560,2011-03-10,Winter,2011,Mar,10,Not,Thur,Light_Rain,0.4,0.4091,0.0,0.1642,0,17,17,Weekday,Too Dry
1561,2011-03-10,Winter,2011,Mar,11,Not,Thur,Light_Rain,0.4,0.4091,0.0,0.2537,6,5,11,Weekday,Too Dry
